dep;week;P;T;cl_age90
04;2020-S33;8;177;59
04;2020-S33;11;193;69
04;2020-S33;3;123;79
04;2020-S33;3;83;89
04;2020-S33;0;27;90
04;2020-S33;47;1267;0
04;2020-S34;3;59;09
04;2020-S34;6;178;19
04;2020-S34;7;253;29
04;2020-S34;8;185;39
04;2020-S34;9;223;49
04;2020-S34;5;240;59
04;2020-S34;6;167;69
04;2020-S34;7;154;79
04;2020-S34;2;94;89
04;2020-S34;1;37;90
04;2020-S34;54;1590;0
04;2020-S35;4;84;09
04;2020-S35;9;185;19
04;2020-S35;26;344;29
04;2020-S35;9;330;39
04;2020-S35;16;371;49
04;2020-S35;10;402;59
04;2020-S35;7;294;69
04;2020-S35;4;208;79
04;2020-S35;4;144;89
04;2020-S35;3;71;90
04;2020-S35;92;2434;0
04;2020-S36;0;114;09
04;2020-S36;9;168;19
04;2020-S36;11;298;29
04;2020-S36;14;337;39
04;2020-S36;7;332;49
04;2020-S36;10;388;59
04;2020-S36;10;409;69
04;2020-S36;3;244;79
04;2020-S36;3;137;89
04;2020-S36;3;48;90
04;2020-S36;70;2475;0
04;2020-S37;3;260;09
04;2020-S37;13;219;19
04;2020-S37;19;285;29
04;2020-S37;10;335;39
04;2020-S37;14;354;49
04;2020-S37;9;354;59
04;2020-S37;6;378;69
04;2020-S37;6;210;79
04;2020-S37;3;154;89
04;2020-S37;1;50;90
04;2020-S37;84;2600;0
04;2020-S38;8;230;09
04;2020-S38;6;290;19
04;2020-S38;9;296;29
04;2020-S38;11;386;39
04;2020-S38;18;322;49
04;2020-S38;14;376;59
04;2020-S38;13;342;69
04;2020-S38;11;210;79
04;2020-S38;7;126;89
04;2020-S38;0;44;90
04;2020-S38;97;2624;0
04;2020-S39;0;90;09
04;2020-S39;18;359;19
04;2020-S39;19;296;29
04;2020-S39;12;270;39
04;2020-S39;12;323;49
04;2020-S39;17;341;59
04;2020-S39;14;297;69
04;2020-S39;5;186;79
04;2020-S39;11;175;89
04;2020-S39;10;117;90
04;2020-S39;118;2454;0
05;2020-S21;0;13;09
05;2020-S21;0;13;19
05;2020-S21;0;32;29
05;2020-S21;1;35;39
05;2020-S21;3;55;49
05;2020-S21;1;46;59
05;2020-S21;2;46;69
05;2020-S21;1;38;79
05;2020-S21;1;35;89
05;2020-S21;0;16;90
05;2020-S21;9;329;0
05;2020-S22;0;15;09
05;2020-S22;0;23;19
05;2020-S22;0;46;29
05;2020-S22;0;61;39
05;2020-S22;1;52;49
05;2020-S22;0;58;59
05;2020-S22;0;61;69
05;2020-S22;0;58;79
05;2020-S22;0;59;89
05;2020-S22;1;39;90
05;2020-S22;2;472;0
05;2020-S23;0;13;09
